image,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,UNK
ISIC_0061393,0.0003365890,0.0000000007,0.0000000880,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9996633530,0.0000000000
ISIC_0055558,0.0000010607,0.9999989271,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0072460,0.0000160918,0.9999839067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063596,0.0000001702,0.9999393225,0.0000000000,0.0000000000,0.0000001819,0.0000601892,0.0000000672,0.0000000000,0.0000000000
ISIC_0066291,0.0001447855,0.0000000002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9998551607,0.0000000000
ISIC_0062321,0.0017682067,0.9982231259,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000086943,0.0000000000,0.0000000000
ISIC_0053687,0.0109707788,0.9890292883,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0053604,0.0000113761,0.0274799112,0.9724823236,0.0000000000,0.0000264213,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0070520,0.0000153695,0.9999787807,0.0000000000,0.0000000000,0.0000057764,0.0000000000,0.0000000001,0.0000000705,0.0000000000
ISIC_0059026,0.9877776504,0.0122223208,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000006,0.0000000000,0.0000000000
ISIC_0063873,0.0000000037,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0071390,0.0000097968,0.9481891990,0.0000026057,0.0000000009,0.0517983958,0.0000000006,0.0000000002,0.0000000006,0.0000000000
ISIC_0055175,0.9999980927,0.0000017654,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000885,0.0000000000,0.0000000000
ISIC_0056054,0.0000000029,0.9998266101,0.0000000000,0.0000000000,0.0000000043,0.0001734340,0.0000000010,0.0000000000,0.0000000000
ISIC_0057598,0.0000014578,0.2951187491,0.0000000008,0.0000000000,0.0000000212,0.7048797011,0.0000000000,0.0000000000,0.0000000000
ISIC_0059629,0.9998533726,0.0000049084,0.0000000002,0.0000015131,0.0000334479,0.0000000000,0.0001057221,0.0000009924,0.0000000000
ISIC_0064388,0.0001889298,0.0003835066,0.0002300464,0.0000010691,0.9991963506,0.0000000009,0.0000000406,0.0000000050,0.0000000000
ISIC_0064381,0.0000000541,0.3682903051,0.6314946413,0.0000000000,0.0000732948,0.0000000059,0.0000000000,0.0001417174,0.0000000000
ISIC_0060126,1.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0072681,0.9996349812,0.0000000008,0.0000000138,0.0002805115,0.0000389164,0.0000000000,0.0000000049,0.0000455479,0.0000000000
ISIC_0072541,0.0000000003,0.9999976158,0.0000000000,0.0000000000,0.0000023949,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054913,0.0000000078,0.9999998808,0.0000000000,0.0000000000,0.0000001013,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0073000,0.9784178138,0.0215820782,0.0000000000,0.0000000000,0.0000000005,0.0000000000,0.0000000709,0.0000000000,0.0000000000
ISIC_0055196,0.0000001338,0.9999998808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0067516,0.0989906639,0.9008858800,0.0000000000,0.0000000000,0.0000000019,0.0000000000,0.0001234437,0.0000000000,0.0000000000
ISIC_0059043,0.0000002316,0.0000000199,0.9916386008,0.0000007356,0.0083604902,0.0000000000,0.0000000313,0.0000000084,0.0000000000
ISIC_0035575,0.0000008351,0.9999984503,0.0000000000,0.0000000000,0.0000000018,0.0000000000,0.0000007278,0.0000000000,0.0000000000
ISIC_0072126,0.0000000000,0.9995803237,0.0000000000,0.0000000000,0.0004054061,0.0000000006,0.0000142894,0.0000000000,0.0000000000
ISIC_0060908,0.2595292330,0.2613122761,0.0038378197,0.0000000036,0.4753205776,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035472,0.0123879351,0.9163060784,0.0000001265,0.0000000000,0.0713057593,0.0000000000,0.0000000000,0.0000000600,0.0000000000
ISIC_0068019,0.0000000000,0.0000000007,0.0000000000,0.0000000000,0.0000034137,0.0000000218,0.9999965429,0.0000000000,0.0000000000
ISIC_0056096,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055015,0.0000000021,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0056433,0.0000000271,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000004,0.0000000000,0.0000000000,0.0000000000
ISIC_0035470,0.0000032664,0.9999966621,0.0000000000,0.0000000000,0.0000000852,0.0000000000,0.0000000015,0.0000000000,0.0000000000
ISIC_0070134,0.9018166065,0.0433256850,0.0000000000,0.0548577420,0.0000000000,0.0000000000,0.0000000007,0.0000000000,0.0000000000
ISIC_0057796,0.0508055426,0.3984849453,0.0000022326,0.0241148248,0.3379979432,0.0005038486,0.0000003383,0.1880902946,0.0000000001
ISIC_0071578,0.0000000009,0.9757054448,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0242946055,0.0000000000,0.0000000000
ISIC_0068592,0.2247319669,0.0076002697,0.0210171025,0.3574644923,0.3891850412,0.0000000000,0.0000000831,0.0000010659,0.0000000000
ISIC_0059036,0.0000099621,0.9999899864,0.0000000000,0.0000000000,0.0000000014,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0060901,0.0000000265,0.9996726513,0.0000000000,0.0000000000,0.0000000011,0.0003273427,0.0000000000,0.0000000000,0.0000000000
ISIC_0068301,0.9999458790,0.0000529419,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000011723,0.0000000000
ISIC_0035605,0.9943220615,0.0000000000,0.0000042514,0.0011427485,0.0031543393,0.0000000000,0.0013755374,0.0000009184,0.0000000000
ISIC_0055490,0.0000160735,0.9999839067,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0034604,0.0175869018,0.9479283094,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0344847813,0.0000000000,0.0000000000
ISIC_0055345,0.3477493525,0.6436910629,0.0000000000,0.0000000526,0.0000000065,0.0000000000,0.0085595045,0.0000000028,0.0000000000
ISIC_0066498,0.0000000001,0.9999290705,0.0000000001,0.0000000000,0.0000040934,0.0000667023,0.0000001156,0.0000000000,0.0000000000
ISIC_0058929,0.0009571930,0.9989297986,0.0000000000,0.0000000000,0.0001129445,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063332,0.0007444278,0.9977637529,0.0000000000,0.0014793319,0.0000124886,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055056,0.9326666594,0.0670224428,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003109152,0.0000000000
ISIC_0065411,0.8881104589,0.1118895710,0.0000000000,0.0000000000,0.0000000187,0.0000000042,0.0000000059,0.0000000000,0.0000000000
ISIC_0035686,0.0072159059,0.0006602804,0.0040761787,0.0000004151,0.0000015816,0.0000008193,0.0000000000,0.9880447984,0.0000000000
ISIC_0062109,0.0000000002,0.9998344183,0.0000000000,0.0000138505,0.0000000000,0.0001516931,0.0000000000,0.0000000000,0.0000000000
ISIC_0068618,0.0000003941,0.0000000541,0.8515591621,0.0000001755,0.1443834752,0.0030439701,0.0000000032,0.0010128212,0.0000000000
ISIC_0035559,0.0978102759,0.8940024972,0.0000101112,0.0000000010,0.0081770746,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035982,0.0000000009,0.0086313095,0.3272618949,0.0136490874,0.6503496766,0.0000000000,0.0000006038,0.0001074785,0.0000000000
ISIC_0034895,0.0161551386,0.9118792415,0.0000000017,0.0000000000,0.0719655603,0.0000000000,0.0000000002,0.0000000000,0.0000000000
ISIC_0036032,0.1789598167,0.8210402131,0.0000000000,0.0000000000,0.0000000102,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0034593,0.0000000001,0.0000000033,0.2827681005,0.6500624418,0.0671646595,0.0000000000,0.0000000000,0.0000047958,0.0000000000
ISIC_0057154,0.9983065128,0.0016803716,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000099637,0.0000031534,0.0000000000
ISIC_0072144,0.9464320540,0.0527110472,0.0000000000,0.0000000000,0.0000003304,0.0000000000,0.0008565272,0.0000000001,0.0000000000
ISIC_0057976,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035240,0.0000000017,0.9996308088,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0003691345,0.0000000000,0.0000000000
ISIC_0035010,0.0029248444,0.9970752001,0.0000000000,0.0000000000,0.0000000031,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054980,0.0781198069,0.0015422197,0.9137563109,0.0013223208,0.0048182323,0.0000003827,0.0000000561,0.0004406643,0.0000000000
ISIC_0035256,0.9633036256,0.0366554596,0.0000000008,0.0000000000,0.0000067854,0.0000000000,0.0000000000,0.0000341203,0.0000000000
ISIC_0035879,0.0000001214,0.9999994040,0.0000004689,0.0000000000,0.0000000019,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0058618,0.0000002511,0.9999970198,0.0000000000,0.0000000000,0.0000026798,0.0000000001,0.0000000036,0.0000000000,0.0000000000
ISIC_0070829,0.0000001174,0.9999998808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000015,0.0000000000
ISIC_0035659,0.5266321898,0.0000783438,0.0000086340,0.0000000167,0.4732804000,0.0000000000,0.0000003956,0.0000000355,0.0000000000
ISIC_0064465,0.9999706745,0.0000000000,0.0000000000,0.0000000000,0.0000268628,0.0000004657,0.0000020510,0.0000000000,0.0000000000
ISIC_0061073,0.3082830906,0.6857631803,0.0051862551,0.0000000085,0.0007659690,0.0000015058,0.0000000253,0.0000000006,0.0000000000
ISIC_0066794,0.0381787978,0.9618211985,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0061662,0.0011091217,0.9988905787,0.0000000000,0.0000000000,0.0000003054,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0062438,0.0609465875,0.0002156083,0.0000014709,0.0000000156,0.0000000004,0.0000000000,0.0031507323,0.9356855154,0.0000000000
ISIC_0054611,0.2154624015,0.0196155887,0.0250707120,0.0004505094,0.7394007444,0.0000000000,0.0000000434,0.0000000020,0.0000000000
ISIC_0064597,0.9999891520,0.0000053729,0.0000000000,0.0000006167,0.0000026834,0.0000000000,0.0000021669,0.0000000000,0.0000000000
ISIC_0069172,0.0220612828,0.9776370525,0.0000082728,0.0001242137,0.0000002727,0.0000000045,0.0001688564,0.0000000030,0.0000000000
ISIC_0054493,0.1667031199,0.8286934495,0.0000000182,0.0046030749,0.0000002612,0.0000000000,0.0000000001,0.0000000011,0.0000000000
ISIC_0070583,0.0000005882,0.9999983311,0.0000000001,0.0000000000,0.0000002004,0.0000000003,0.0000008348,0.0000000000,0.0000000000
ISIC_0070263,0.0000139210,0.9126232862,0.0623933524,0.0002687167,0.0000000752,0.0002319476,0.0244513396,0.0000172882,0.0000000000
ISIC_0054603,0.0001501000,0.9996535778,0.0001016859,0.0000000038,0.0000943489,0.0000002561,0.0000000587,0.0000000016,0.0000000000
ISIC_0057278,0.0697231069,0.9300094247,0.0000043492,0.0000000095,0.0002512623,0.0000107032,0.0000003943,0.0000006576,0.0000000000
ISIC_0054102,0.0001150644,0.9998113513,0.0000134694,0.0000000606,0.0000059318,0.0000003600,0.0000530270,0.0000008063,0.0000000000
ISIC_0056776,0.0000000029,0.9999933243,0.0000000000,0.0000000000,0.0000000028,0.0000066923,0.0000000126,0.0000000000,0.0000000000
ISIC_0053964,0.0000019170,0.9826360941,0.0000000000,0.0000000000,0.0173620246,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0035741,0.9999995232,0.0000004551,0.0000000000,0.0000000004,0.0000000069,0.0000000000,0.0000000000,0.0000000090,0.0000000000
ISIC_0071269,0.4751548171,0.5245380998,0.0000000001,0.0000291815,0.0000030166,0.0002708085,0.0000041356,0.0000000000,0.0000000000
ISIC_0067904,0.9563878775,0.0436121523,0.0000000000,0.0000000000,0.0000000035,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054837,0.0081423419,0.0070186458,0.0000188003,0.0000026225,0.9839559197,0.0000000002,0.0000000000,0.0008616237,0.0000000000
ISIC_0035632,0.9715013504,0.0284983218,0.0000000000,0.0000000000,0.0000003484,0.0000000000,0.0000000000,0.0000000010,0.0000000000
ISIC_0066035,0.0000503293,0.9999496937,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000059,0.0000000000,0.0000000000
ISIC_0057799,0.9990064502,0.0009935417,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035244,0.0098389555,0.9901533723,0.0000000158,0.0000000000,0.0000073425,0.0000000000,0.0000003124,0.0000000000,0.0000000000
ISIC_0068099,0.0000000001,0.9646345973,0.0000078746,0.0353478305,0.0000085315,0.0000000000,0.0000011442,0.0000000021,0.0000000000
ISIC_0034821,0.9949365854,0.0016054291,0.0000000000,0.0000000005,0.0000000343,0.0000000000,0.0000000000,0.0034579947,0.0000000000
ISIC_0070820,0.0031934052,0.9857829809,0.0000000001,0.0000000001,0.0110236537,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0064309,0.0000000584,0.9999982119,0.0000017216,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0060212,0.4255117178,0.5400751233,0.0000000000,0.0000000001,0.0344130918,0.0000000018,0.0000000038,0.0000000001,0.0000000000
ISIC_0069723,0.0000002636,0.2310840338,0.0000000000,0.0000000008,0.7672873139,0.0000000043,0.0016283953,0.0000000000,0.0000000000
ISIC_0062897,0.9999849796,0.0000000006,0.0000000709,0.0000000002,0.0000149058,0.0000000000,0.0000000304,0.0000000086,0.0000000000
ISIC_0068501,0.0000000000,0.9999899864,0.0000000000,0.0000000000,0.0000000000,0.0000099837,0.0000000000,0.0000000000,0.0000000000
ISIC_0062986,0.9754350781,0.0245094635,0.0000006064,0.0000000077,0.0000473948,0.0000000130,0.0000074433,0.0000000017,0.0000000000
ISIC_0067917,0.0000000016,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0069784,0.0050696782,0.0001369360,0.0036861771,0.0014887268,0.9896184802,0.0000000000,0.0000000001,0.0000000309,0.0000000000
ISIC_0035030,0.4814158678,0.0514870137,0.4665692151,0.0000000000,0.0001288892,0.0000000000,0.0002677499,0.0001312401,0.0000000000
ISIC_0054106,0.8753045201,0.1164779887,0.0000000000,0.0000000000,0.0082174018,0.0000000000,0.0000000164,0.0000000000,0.0000000000
ISIC_0060293,0.0000005979,0.0530334525,0.0000007354,0.0000000000,0.0000000000,0.9469652176,0.0000000000,0.0000000000,0.0000000000
ISIC_0034573,0.2224980593,0.7775016427,0.0000000000,0.0000000000,0.0000000018,0.0000000000,0.0000003093,0.0000000000,0.0000000000
ISIC_0035063,0.0000183579,0.0499799028,0.0005602314,0.0000124881,0.0000002714,0.0000000446,0.9494286180,0.0000000370,0.0000000000
ISIC_0053850,0.6941726208,0.3057832122,0.0000000818,0.0000230826,0.0000184038,0.0000000043,0.0000009879,0.0000016924,0.0000000000
ISIC_0066059,0.0000071081,0.9153319597,0.0000000004,0.0023562319,0.0000000004,0.0000000000,0.0000000000,0.0823047683,0.0000000000
ISIC_0068589,0.9999310970,0.0000133770,0.0000000000,0.0000000041,0.0000000000,0.0000000000,0.0000554963,0.0000000000,0.0000000000
ISIC_0034455,0.0000002814,0.9978692532,0.0000000000,0.0000000000,0.0000000000,0.0000004747,0.0021299785,0.0000000014,0.0000000000
ISIC_0053639,0.0164181478,0.9820437431,0.0000010107,0.0000000000,0.0000041287,0.0000000000,0.0015329726,0.0000000000,0.0000000000
ISIC_0063469,0.0053906557,0.9946092367,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000803,0.0000000000,0.0000000000
ISIC_0057205,0.0000709017,0.9999061823,0.0000078092,0.0000000000,0.0000000549,0.0000149916,0.0000000000,0.0000000000,0.0000000000
ISIC_0034656,0.4638992548,0.5360268950,0.0000000003,0.0000000000,0.0000737948,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0066528,0.0006962053,0.9993011951,0.0000025786,0.0000000000,0.0000000004,0.0000000000,0.0000000000,0.0000000005,0.0000000000
ISIC_0056644,0.0040480490,0.9959515333,0.0000000000,0.0000000000,0.0000004333,0.0000000008,0.0000000001,0.0000000000,0.0000000000
ISIC_0064857,0.9422373176,0.0577278398,0.0000000000,0.0000000000,0.0000000019,0.0000000000,0.0000347753,0.0000000000,0.0000000000
ISIC_0063333,0.4673049748,0.0000899019,0.0000000026,0.0000000000,0.0000598308,0.5324440598,0.0001012635,0.0000000000,0.0000000000
ISIC_0055480,0.0161294322,0.3852606416,0.0000000034,0.0000000000,0.0000033741,0.5986065269,0.0000000000,0.0000000000,0.0000000000
ISIC_0035870,0.0009738606,0.9982218146,0.0000000000,0.0000000001,0.0003969991,0.0000000000,0.0004072647,0.0000000000,0.0000000000
ISIC_0072079,0.0057508689,0.9942449927,0.0000000633,0.0000000000,0.0000000719,0.0000000000,0.0000040152,0.0000000000,0.0000000000
ISIC_0055985,0.1158881783,0.7674773335,0.0000000002,0.0000000000,0.0000042921,0.1165578440,0.0000722973,0.0000000002,0.0000000000
ISIC_0034611,0.0000707205,0.9997631907,0.0000000000,0.0000000000,0.0000000461,0.0001660175,0.0000000000,0.0000000000,0.0000000000
ISIC_0035122,0.0000000000,0.1858094633,0.6074281335,0.0000001377,0.1679629833,0.0000000902,0.0387991816,0.0000000182,0.0000000000
ISIC_0072565,0.0000001016,0.9898137450,0.0101835253,0.0000000000,0.0000026064,0.0000000000,0.0000000145,0.0000000000,0.0000000000
ISIC_0057995,0.9030305147,0.0969694406,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063658,0.0000000413,0.9998848438,0.0000000000,0.0000000000,0.0000000003,0.0001148067,0.0000002858,0.0000000000,0.0000000000
ISIC_0061394,0.0000078224,0.9999915361,0.0000000000,0.0000000000,0.0000006204,0.0000000002,0.0000000350,0.0000000000,0.0000000000
ISIC_0057653,0.0000007773,0.9999990463,0.0000000005,0.0000000000,0.0000000025,0.0000000000,0.0000002013,0.0000000000,0.0000000000
ISIC_0070067,0.0000004611,0.9897661805,0.0000000000,0.0000920719,0.0000000011,0.0100209145,0.0001203686,0.0000000000,0.0000000000
ISIC_0063348,0.2727307379,0.7272542119,0.0000000000,0.0000000000,0.0000000005,0.0000000000,0.0000150407,0.0000000000,0.0000000000
ISIC_0065817,0.0105097294,0.9885819554,0.0000009880,0.0000000001,0.0009073493,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0070578,0.0000025915,0.9999973774,0.0000000001,0.0000000018,0.0000000000,0.0000000000,0.0000000006,0.0000000000,0.0000000000
ISIC_0069122,0.0000000000,0.9999990463,0.0000000000,0.0000000000,0.0000008831,0.0000000000,0.0000000449,0.0000000000,0.0000000000
ISIC_0061332,0.0011202686,0.0121401632,0.0000001177,0.0368475914,0.0018649682,0.0000005879,0.0000000001,0.9480262995,0.0000000000
ISIC_0056748,0.0000000000,0.9994792342,0.0000000877,0.0000000000,0.0000032292,0.0000000000,0.0005174757,0.0000000000,0.0000000000
ISIC_0072198,0.0000000004,0.9999997616,0.0000000018,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001829,0.0000000000
ISIC_0072398,0.2265950888,0.5643146038,0.0024383061,0.0006409813,0.2028227597,0.0031881251,0.0000000000,0.0000000312,0.0000000000
ISIC_0058921,0.0065635284,0.0900865570,0.0005709650,0.0000011051,0.9027779102,0.0000000012,0.0000000000,0.0000000008,0.0000000000
ISIC_0064995,0.0000239492,0.9999760389,0.0000000000,0.0000000000,0.0000000066,0.0000000031,0.0000000000,0.0000000000,0.0000000000
ISIC_0035282,0.0812445506,0.0005415973,0.3673427999,0.3207872808,0.1838286668,0.0000000000,0.0000001089,0.0462549664,0.0000000000
ISIC_0065216,0.2176395506,0.0000215800,0.0000196156,0.7787792087,0.0000469660,0.0000000000,0.0000000000,0.0034930981,0.0000000000
ISIC_0071849,0.9970481992,0.0029517664,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0061995,1.0000000000,0.0000000305,0.0000000000,0.0000000000,0.0000000146,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0070360,0.0013500840,0.9986498952,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0034461,0.0000118491,0.9999880791,0.0000000192,0.0000000021,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0064596,0.0000337863,0.9999662638,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0057410,0.3551026285,0.0010553732,0.0003147906,0.0003858775,0.0372837745,0.0000000000,0.0000000625,0.6058574319,0.0000000000
ISIC_0064130,0.1597458571,0.0000473843,0.0000000008,0.0000000003,0.0000000577,0.7098387480,0.1303679645,0.0000000055,0.0000000000
ISIC_0070936,0.0000000301,0.9996529818,0.0000225118,0.0000000000,0.0000001546,0.0000000000,0.0003243741,0.0000000055,0.0000000000
ISIC_0035973,0.9504498839,0.0495497584,0.0000000000,0.0000001109,0.0000000785,0.0000000000,0.0000000803,0.0000000000,0.0000000000
ISIC_0035501,0.0001667732,0.9998090863,0.0000000000,0.0000000000,0.0000000000,0.0000242218,0.0000000020,0.0000000000,0.0000000000
ISIC_0072009,0.0000000185,0.9999980927,0.0000000000,0.0000000000,0.0000019062,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0066813,0.0000014644,0.9999985695,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0068903,0.0001574541,0.9998425245,0.0000000000,0.0000000000,0.0000000016,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0057282,0.0000021025,0.9992051721,0.0000000039,0.0000000000,0.0000361898,0.0000007106,0.0000001037,0.0007557635,0.0000000000
ISIC_0035544,0.0001417208,0.9998297691,0.0000000230,0.0000000000,0.0000001082,0.0000283627,0.0000000000,0.0000000000,0.0000000000
ISIC_0071123,0.0041392455,0.0055057509,0.0115883481,0.8901256323,0.0886410326,0.0000000000,0.0000000000,0.0000000002,0.0000000000
ISIC_0053723,0.0000087436,0.9999912977,0.0000000000,0.0000000000,0.0000000004,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0069704,0.0269738901,0.9730188847,0.0000000000,0.0000072086,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0064904,0.0000011690,0.9999772310,0.0000003637,0.0000000000,0.0000212338,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0060597,0.9306315780,0.0453517176,0.0000079904,0.0000002073,0.0239898991,0.0000000002,0.0000185906,0.0000000002,0.0000000000
ISIC_0057965,0.0582744554,0.9082947373,0.0000000451,0.0000000000,0.0334307589,0.0000000000,0.0000000031,0.0000000000,0.0000000000
ISIC_0053575,0.0000000000,0.9999976158,0.0000000059,0.0000000000,0.0000001959,0.0000000000,0.0000021619,0.0000000000,0.0000000000
ISIC_0067973,1.0000000000,0.0000000282,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000002,0.0000000201,0.0000000000
ISIC_0062916,0.0479294024,0.9514430761,0.0000000000,0.0000000000,0.0000001927,0.0000000000,0.0006273987,0.0000000000,0.0000000000
ISIC_0067522,0.9117559791,0.0000196563,0.0000000002,0.0882243589,0.0000000472,0.0000000000,0.0000000003,0.0000000000,0.0000000000
ISIC_0068702,0.0000000076,0.9905781746,0.0000000000,0.0000000504,0.0000000110,0.0000000001,0.0094217835,0.0000000000,0.0000000000
ISIC_0054015,0.7070631981,0.0003817724,0.1581287831,0.0000678015,0.1343466491,0.0000000000,0.0000086940,0.0000031045,0.0000000000
ISIC_0066045,0.8652152419,0.1347846836,0.0000000000,0.0000000918,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0060010,0.0000000003,1.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0056813,0.1956785917,0.7925747037,0.0116032846,0.0000000006,0.0000394136,0.0000000000,0.0001040319,0.0000000000,0.0000000000
ISIC_0070348,0.0000314398,0.0000008728,0.0000000001,0.9999314547,0.0000362968,0.0000000000,0.0000000000,0.0000000110,0.0000000000
ISIC_0065840,0.3206443787,0.3557892144,0.0000012173,0.0000000000,0.3235588968,0.0000000930,0.0000062413,0.0000000002,0.0000000001
ISIC_0034527,0.6981239319,0.3014448881,0.0000000234,0.0000000004,0.0004312858,0.0000000076,0.0000000000,0.0000000004,0.0000000000
ISIC_0069018,0.0347612612,0.9652383924,0.0000000000,0.0000000000,0.0000002335,0.0000000000,0.0000001364,0.0000000000,0.0000000000
ISIC_0073084,0.0000000001,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054742,0.0000000081,0.0000000000,0.0000000152,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
ISIC_0072797,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055595,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000020,0.0000000000
ISIC_0059496,0.0050048637,0.0123451846,0.0000000381,0.0000153799,0.9826346040,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0070636,0.0000091514,0.9805108905,0.0194719490,0.0000000000,0.0000001652,0.0000000052,0.0000000000,0.0000078197,0.0000000000
ISIC_0062729,0.9997788072,0.0000652351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001559942,0.0000000000,0.0000000000
ISIC_0068857,0.0000000002,0.4451041222,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5548959374,0.0000000000,0.0000000000
ISIC_0066599,0.0000046758,0.9999953508,0.0000000000,0.0000000000,0.0000000050,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0059876,0.0288969502,0.0565362461,0.0000000177,0.0000000000,0.0005491700,0.0000000002,0.9139767885,0.0000408348,0.0000000000
ISIC_0034961,0.0679814816,0.0000000068,0.0000266133,0.0084639043,0.0000000032,0.0000000000,0.0000000106,0.9235278964,0.0000000000
ISIC_0071182,0.0000001620,0.1528847069,0.0000000000,0.0000000000,0.8471150994,0.0000000000,0.0000000002,0.0000000000,0.0000000000
ISIC_0054017,0.0000098557,0.9999629259,0.0000000000,0.0000000000,0.0000269113,0.0000003406,0.0000000001,0.0000000000,0.0000000000
